,Raw,Posted_date,Country_name,certificate,Website,Total
400,"
                    Page 1 of 60 jobs",7/5/21,Singapore,,Indeed,60 
401,0,7/5/21,Singapore,,Indeed,0
402,"
                    Page 1 of 618 jobs",7/5/21,Canada,Hospital Administration,Indeed,618 
403,"
                    Page 1 of 6 jobs",7/5/21,Canada,Public Health,Indeed,6 
404,"
                    Page 1 of 1179 jobs",7/5/21,Canada,Accounting,Indeed,1179 
405,"
                    Page 1 of 1326 jobs",7/5/21,Canada,Auto Service,Indeed,1326 
406,"
                    Page 1 of 4 jobs",7/5/21,Canada,Communication,Indeed,4 
407,"
                    Page 1 of 486 jobs",7/5/21,Canada,Computer Support,Indeed,486 
408,"
                    Page 1 of 2 jobs",7/5/21,Canada,Database,Indeed,2 
409,"
                    Page 1 of 1 jobs",7/5/21,Canada,Tourism Management,Indeed,1
410,"
                    Page 1 of 8 jobs",7/5/21,Canada,Marriage Family,Indeed,8 
411,"
                    Page 1 of 4 jobs",7/5/21,Canada,Project Management,Indeed,4 
412,0,7/5/21,Canada,TEFL,Indeed,0
413,"
                    Page 1 of 22 jobs",7/5/21,Canada,Web Development,Indeed,22 
414,"
                    Page 1 of 5 jobs",7/5/21,Canada,Business Administration,Indeed,5 
415,0,7/5/21,Canada,Healthcare Administration,Indeed,0
